id;name;address;ext_id;ext_name;ext_address;
4504128908867030;Подушкин, сеть отелей на час;Шухова, 13;4f218b10e4b06c6f5f3ce0d5;Подушкин;ул. Шухова, 13, Москва;
4504127909259500;НиКа, речевой центр;Чечёрский проезд, 52;4fcb4e8de4b0871e0ed97bf6;Кафе Пепела;Чечерский Проезд 52/1;
4504127917513740;Зита, ООО, салон-парикмахерская;Федеративный проспект, 3;4eca3630e5e8f7bb884bb88e;"Круглосуточный Магазин ""Зита""";Федеративный проспект дом 3;
4504127908400880;Паста и Баста, ресторан;Сретенский бульвар, 4;4bc448a8461576b081ac7f32;Паста и Баста!;Сретенский бул., 4;
4504127916896210;МиНелли, салон красоты;Цюрупы, 20 к1;4f5a0896e4b00c49e3e5930f;МиНелли;ул. Цюрупы, 18;
4504127908781720;Ермак, салон красоты;Нежинская, 13;513349fde4b042483bb21f91;Салон красоты;Нежинская ул., 13;
4504127918071780;Имплант-Сити, стоматологический центр;Звенигородское шоссе, 7;4fdc5306e4b044e8224ffc00;"Стоматология ""Имплант Сити""";Звенигородское шоссе, 7;
4504127908706360;Восточный базар, сеть ресторанов быстрого питания;Шереметьево аэропорт, терминал E;4cbd0a8e035d236a0e09e94e;Восточный Базар;Sheremetyevo E;
4504127909080040;Орхидея, центр красоты и здоровья;Мельникова проспект, 18;5193ac9d498e9b106d04996d;"Салон красоты ""Орхидея""";Проспект Мельникова 18;
70000001006173900;Сеть студий маникюра Лены Лениной;Пришвина, 22;53219af711d2a0c191a0c19a;Студия маникюра Лены Лениной;ТЦ «Александр Лэнд»;
4504127908645620;Анжелю, медицинский центр;Новокосинская, 14 к3;4ead5da6d5fbf0d5d0af2e0d;Медицинский центр «Анжелю»;новокосинская 14 к3;
4504127908638490;Marchello Beauty, маникюрный салон;Нижняя Первомайская, 7;50019ef490e71cd02cb2b356;Marcello Beauty;Нижняя Первомайская, 7;
4504127908502430;ДенталГуру, научно-исследовательская клиника;Покровка, 43 ст2;4e79bd6ca809c2cd9bdf6b4a;Dental Guru;Покровка 43;
4504127908760690;Дед Пихто, сеть ресторанов;Мясницкая, 37 ст3;4bb4c5362ba29c74ac38ef2d;Дед Пихто;Мясницкая ул., 37;
4504128908622170;Макси Студио, фитнес-клуб;Новомытищинский проспект, 76;4ee4c872aa1fd7f754b75e41;Макси Студио;Новомытищенский 76;
4504127909576010;Детский сад №61, комбинированного вида;Мира, 1;5179030fe4b0d4629a6c6a5e;детский садик 61;ул. Мира 1;
4504127908652920;McDonald`s, сеть ресторанов быстрого питания;Дмитровское шоссе, 116д;4f4a1d94e4b002a2ad3c51fd;McDonald's;"ТЦ ""Мосмарт""";
4504128908472070;Школа-студия Инги Бабицкой;Николоямская, 38/23 ст1;51615e6be4b08dc3592caf9b;Школа Студия Инги Бабицкой;Николоямская 38/23;
4504127919477540;Справка, многопрофильный медицинский центр;Андреевка пос, 16Б;5094e6fbe4b0ad3a9521b848;"Мед. Центр ""Справка""";Андреевка 16Б;
4504128908434370;Republika, сеть фитнес-клубов;Никольская, 10;54366040498efd6397673386;Republika;Никольская 10;
4504128908644980;КИТ-МЕД, сеть центров радиочастотной липосакции;Генерала Ермолова, 2;4c4ee23dc1f5ef3bf33b53ab;Чешский медицинский центр;ул. Генерала Ермолова, 2;
4504127908358400;Загораем, сеть студий загара;Ореховый бульвар, 22а;5471df76498ecc3a5c6ff5ef;"Студия загара ""Загораем""";"ТРК ""Облака"", Ореховый Бульвар, 22а";
4504127917063830;Авто-баня, автомойка;Дмитровское шоссе, 65г ст1;4f63514be4b0ea77cc5e8614;Автобус №191;ст. Ховрино — м. «Петровско-Разумовская»;
4504127917063830;Авто-баня, автомойка;Дмитровское шоссе, 65г ст1;4dbc3dde43a1d8504b85def1;Шиномонтаж и автомойка;Дмитровское шоссе, дом 56, строение 1;
4504127908802990;Вита, ветеринарный центр;Керамическая, 27;5183bba3498e416da409aca9;Ветклиника Вита;Керамическая ул., д.27А;
70000001007505500;ПремьерА, киноцентр;Пионерская, 15 к1;5451fdee498e9e01f6739e6a;"Кинотеатр ""Премьера""";Пионерская Улица 15 Стр. 1;
4504127908980450;Saxar, ночной клуб;Большой Сухаревский пер, 25 ст1;4beeb1fee8c3c92849f89892;Saxar Club;Большой Сухаревский пер., 25, стр. 1;
4504127909023040;Останкино, баня-сауна;Большая Марфинская, 7а;4cb4845e562d224b14ee3488;Бассейн Останкино;Большая Марфинская 7а;
4504127908636430;ИНВИТРО, сеть медицинских центров;Строгинский бульвар, 7 к1;4da80c495da3ef8bf154ca79;Инвитро;Строгинский бульвар 7;
4504128908386670;ПрезиДЕНТ, сеть стоматологических клиник;Северный бульвар, 7г;4f620dfce4b0a20e1e5346fb;Стоматологический Комплекс ПрезиДент;Северный бульвар, д. 7 Г, стр. 2;
4504128908386670;ПрезиДЕНТ, сеть стоматологических клиник;Северный бульвар, 7г;4f4f75cae4b03cdd7a114b11;Стоматология Вита Дент;д.3 к.2;
4504128908597490;Тарелка, кафе;Ленинский проспект, 54;4fae50e8e4b0ffee0c031733;Тарелка;Ленинский просп., 54;
4504127908427690;А-Сретенка, салон красоты;Сретенский бульвар, 6/1;4e4a0b32a80997a2dbedb8c1;А-Сретенка;Фролов пер., 1;
4504127908427690;А-Сретенка, салон красоты;Сретенский бульвар, 6/1;5353b5a2498e936dfa853c96;международная академия исследований будущего;Сретенский Бульвар 6/1;
4504127908427690;А-Сретенка, салон красоты;Сретенский бульвар, 6/1;4dadbf65f7b1e810c1364afa;Доктор Столетов Аптека;Тургеневская площадь,2;
4504127908427690;А-Сретенка, салон красоты;Сретенский бульвар, 6/1;52a17a0e498e56f18fa3a9eb;Astinn/Астинн Оптовая продажа тканей;Сретенский Бульвар Дом Дом 6/1 с.1;
4504127908427690;А-Сретенка, салон красоты;Сретенский бульвар, 6/1;4db5251bfa8c350240f39123;Аргументы недели;Бобров пер., 6;
4504127908427690;А-Сретенка, салон красоты;Сретенский бульвар, 6/1;4ca2e998b0ff8cfa84deb25e;Аптека А5;Сретенский Бульвар Д.7;
4504127908427690;А-Сретенка, салон красоты;Сретенский бульвар, 6/1;528b107611d28a2cd554df00;"Пресс-центр газеты ""Аргументы недели""";Бобров пер., 6;
4504127908427690;А-Сретенка, салон красоты;Сретенский бульвар, 6/1;5080f9b2e4b0a0ddb1e77b1a;актовый зал 1500;#пушкинский Лицей 1500;
4504127908427690;А-Сретенка, салон красоты;Сретенский бульвар, 6/1;54393278498ea44ee2821393;АлиТа;Сретенский Бульвар, 6/1;
4504127908427690;А-Сретенка, салон красоты;Сретенский бульвар, 6/1;524be5d011d246ea2fd0ac61;Российская Академия Живописи, Ваяния и Зодчества Ильи Глазунова;Мясницкая улица 21;
